Date,Opponent,Princeton,Opponent,Description,W/L/T,H/A/N
10/2/2021,Columbia,24,7,10/2/2021 Princeton: 24 / Columbia: 7,W,H
10/9/2021,Monmouth,31,28,10/9/2021 Princeton: 31 / Monmouth: 28,W,A
10/16/2021,Brown,56,42,10/16/2021 Princeton: 56 / Brown: 42,W,A
10/23/2021,Harvard,18,16,10/23/2021 Princeton: 18 / Harvard: 16,W,H
10/29/2021,Cornell,34,16,10/29/2021 Princeton: 34 / Cornell: 16,W,A
11/5/2021,Dartmouth,7,31,11/5/2021 Princeton: 7 / Dartmouth: 31,L,A
11/13/2021,Yale,35,20,11/13/2021 Princeton: 35 / Yale: 20,W,H
11/20/2021,Penn,34,14,11/20/2021 Princeton: 34 / Penn: 14,W,A
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
,,,,12/30/1899 Princeton:  / : ,T,
